Timestamp,EventID,Feedback
2018-05-20 16:56:59.983161,T1,Positive
2018-05-20 16:57:00.993850,T1,Neutral
2018-05-20 16:57:01.998378,T1,Negative
2018-05-20 16:57:03.002740,T1,Neutral
2018-05-20 16:57:04.014699,T1,Neutral
2018-05-20 16:57:05.025039,T1,Neutral
2018-05-20 16:57:06.029836,T1,Positive
2018-05-20 16:57:07.038008,T1,Positive
2018-05-20 16:57:08.042156,T1,Positive
2018-05-20 16:57:09.049739,T1,Neutral
2018-05-20 16:57:10.057469,T1,Positive
2018-05-20 16:57:11.066947,T1,Negative
2018-05-20 16:57:12.070912,T1,Neutral
2018-05-20 16:57:13.074821,T1,Negative
2018-05-20 16:57:14.082961,T1,Neutral
2018-05-20 16:57:15.092575,T1,Negative
2018-05-20 16:57:16.098680,T1,Negative
2018-05-20 16:57:17.105424,T1,Negative
2018-05-20 16:57:18.109851,T1,Positive
2018-05-20 16:57:19.120181,T1,Negative
2018-05-20 16:57:20.128753,T1,Neutral
2018-05-20 16:57:21.134690,T1,Neutral
2018-05-20 16:57:22.141703,T1,Positive
2018-05-20 16:57:23.147373,T1,Negative
2018-05-20 16:57:24.158098,T1,Negative
2018-05-20 16:57:25.172810,T1,Negative
2018-05-20 16:57:26.176780,T1,Positive
2018-05-20 16:57:27.181394,T1,Positive
2018-05-20 16:57:28.188948,T1,Positive
2018-05-20 16:57:29.193477,T1,Neutral
2018-05-20 16:57:30.200273,T1,Neutral
2018-05-20 16:57:31.209626,T1,Neutral
2018-05-20 16:57:32.216517,T1,Negative
2018-05-20 16:57:33.223694,T1,Negative
2018-05-20 16:57:34.229259,T1,Negative
2018-05-20 16:57:35.233853,T1,Negative
2018-05-20 16:57:36.238783,T1,Negative
2018-05-20 16:57:37.244300,T1,Neutral
2018-05-20 16:57:38.250469,T1,Neutral
2018-05-20 16:57:39.257057,T1,Neutral
2018-05-20 16:57:40.260284,T1,Positive
2018-05-20 16:57:41.268027,T1,Positive
2018-05-20 16:57:42.272337,T1,Negative
2018-05-20 16:57:43.277228,T1,Neutral
2018-05-20 16:57:44.282163,T1,Neutral
2018-05-20 16:57:45.289405,T1,Neutral
2018-05-20 16:57:46.293097,T1,Neutral
2018-05-20 16:57:47.300755,T1,Negative
2018-05-20 16:57:48.307920,T1,Neutral
2018-05-20 16:57:49.311954,T1,Neutral
2018-05-20 16:57:50.317687,T1,Neutral
2018-05-20 16:57:51.322707,T1,Neutral
2018-05-20 16:57:52.329496,T1,Positive
2018-05-20 16:57:53.335092,T1,Negative
2018-05-20 16:57:54.342262,T1,Positive
2018-05-20 16:57:55.349159,T1,Neutral
2018-05-20 16:57:56.353988,T1,Neutral
2018-05-20 16:57:57.358449,T1,Positive
2018-05-20 16:57:58.366134,T1,Neutral
2018-05-20 16:57:59.370992,T1,Positive
2018-05-20 16:58:00.374891,T1,Neutral
2018-05-20 16:58:01.380814,T1,Neutral
2018-05-20 16:58:02.392035,T1,Positive
2018-05-20 16:58:03.398838,T1,Positive
2018-05-20 16:58:04.407315,T1,Negative
2018-05-20 16:58:05.418871,T1,Neutral
2018-05-20 16:58:06.428335,T1,Positive
2018-05-20 16:58:07.433238,T1,Neutral
2018-05-20 16:58:08.439809,T1,Negative
2018-05-20 16:58:09.443834,T1,Positive
2018-05-20 16:58:10.449767,T1,Neutral
2018-05-20 16:58:11.454181,T1,Negative
2018-05-20 16:58:12.459754,T1,Negative
2018-05-20 16:58:13.467121,T1,Positive
2018-05-20 16:58:14.470935,T1,Neutral
2018-05-20 16:58:15.476627,T1,Positive
2018-05-20 16:58:16.492125,T1,Positive
2018-05-20 16:58:17.510902,T1,Positive
2018-05-20 16:58:18.515120,T1,Positive
2018-05-20 16:58:19.522747,T1,Negative
2018-05-20 16:58:20.527447,T1,Positive
2018-05-20 16:58:21.530876,T1,Neutral
2018-05-20 16:58:22.534828,T1,Neutral
2018-05-20 16:58:23.538982,T1,Neutral
2018-05-20 16:58:24.545510,T1,Positive
2018-05-20 16:58:25.551221,T1,Negative
2018-05-20 16:58:26.555095,T1,Positive
2018-05-20 16:58:27.559096,T1,Negative
2018-05-20 16:58:28.562813,T1,Positive
2018-05-20 16:58:29.566775,T1,Negative
2018-05-20 16:58:30.574924,T1,Positive
2018-05-20 16:58:31.581695,T1,Positive
2018-05-20 16:58:32.588151,T1,Neutral
2018-05-20 16:58:33.594781,T1,Neutral
2018-05-20 16:58:34.598888,T1,Negative
2018-05-20 16:58:35.602913,T1,Positive
2018-05-20 16:58:36.607006,T1,Neutral
2018-05-20 16:58:37.611299,T1,Neutral
2018-05-20 16:58:38.615784,T1,Negative
2018-05-20 16:58:39.620845,T1,Positive
2018-05-20 16:58:40.626100,T1,Negative
2018-05-20 16:58:41.633170,T1,Positive
2018-05-20 16:58:42.639650,T1,Neutral
2018-05-20 16:58:43.646505,T1,Negative
2018-05-20 16:58:44.651011,T1,Negative
2018-05-20 16:58:45.658179,T1,Negative
2018-05-20 16:58:46.668771,T1,Neutral
2018-05-20 16:58:47.672335,T1,Neutral
2018-05-20 16:58:48.680353,T1,Negative
2018-05-20 16:58:49.686934,T1,Positive
2018-05-20 16:58:50.690603,T1,Positive
2018-05-20 16:58:51.695175,T1,Positive
2018-05-20 16:58:52.699398,T1,Positive
2018-05-20 16:58:53.703390,T1,Positive
2018-05-20 16:58:54.709587,T1,Negative
2018-05-20 16:58:55.719476,T1,Positive
2018-05-20 16:58:56.729680,T1,Negative
2018-05-20 16:58:57.733979,T1,Neutral
2018-05-20 16:58:58.739309,T1,Positive
2018-05-20 16:58:59.743246,T1,Positive
2018-05-20 16:59:00.754832,T1,Neutral
2018-05-20 16:59:01.764799,T1,Neutral
2018-05-20 16:59:02.772343,T1,Neutral
2018-05-20 16:59:03.778623,T1,Neutral
2018-05-20 16:59:04.782664,T1,Positive
2018-05-20 16:59:05.787178,T1,Negative
2018-05-20 16:59:06.794401,T1,Negative
2018-05-20 16:59:07.801436,T1,Neutral
2018-05-20 16:59:08.806493,T1,Positive
2018-05-20 16:59:09.810746,T1,Negative
2018-05-20 16:59:10.817005,T1,Positive
2018-05-20 16:59:11.821715,T1,Neutral
2018-05-20 16:59:12.826971,T1,Positive
2018-05-20 16:59:13.831217,T1,Neutral
2018-05-20 16:59:14.837916,T1,Positive
2018-05-20 16:59:15.843130,T1,Positive
2018-05-20 16:59:16.847710,T1,Neutral
2018-05-20 16:59:17.854775,T1,Negative
2018-05-20 16:59:18.861299,T1,Negative
2018-05-20 16:59:19.866699,T1,Positive
2018-05-20 16:59:20.870940,T1,Neutral
2018-05-20 16:59:21.875862,T1,Neutral
2018-05-20 16:59:22.882846,T1,Negative
2018-05-20 16:59:23.888117,T1,Positive
2018-05-20 16:59:24.894227,T1,Negative
2018-05-20 16:59:25.899671,T1,Positive
2018-05-20 16:59:26.908874,T1,Neutral
2018-05-20 16:59:27.917282,T1,Positive
2018-05-20 16:59:28.923753,T1,Positive
2018-05-20 16:59:29.928864,T1,Negative
2018-05-20 16:59:30.934009,T1,Negative
2018-05-20 16:59:31.941098,T1,Negative
2018-05-20 16:59:32.951355,T1,Negative
2018-05-20 16:59:33.957579,T1,Positive
2018-05-20 16:59:34.961085,T1,Negative
2018-05-20 16:59:35.966596,T1,Positive
2018-05-20 16:59:36.976776,T1,Neutral
2018-05-20 16:59:37.985358,T1,Positive
2018-05-20 16:59:38.989722,T1,Positive
2018-05-20 16:59:39.995020,T1,Neutral
2018-05-20 16:59:41.002830,T1,Negative
